route_id,trip_count
7,1044
8,453
9,400
10,38
11,767
12,636
13,352
14,352
15,349
16,778
17,458
19,782
20,423
21,430
22,1060
23,792
24,1121
25,1244
26,380
28,346
29,1349
30,378
31,688
32,1903
33,366
34,1578
35,1199
36,2408
37,907
38,642
39,1279
40,738
41,824
42,517
43,1537
44,1065
45,958
46,451
47,1095
48,319
49,338
50,506
51,351
52,1838
53,1137
54,1251
55,458
56,416
57,473
59,442
60,969
61,493
62,460
63,2619
64,650
65,722
66,767
67,523
68,704
69,976
70,731
71,604
72,2322
73,802
74,349
75,611
76,1282
77,600
78,354
79,635
80,432
82,391
83,518
84,1224
85,1630
86,1191
87,864
88,526
89,988
90,927
91,385
92,1244
93,324
94,916
95,1252
96,992
97,373
98,340
99,556
100,1002
101,236
102,1248
104,382
105,518
106,528
107,510
108,731
109,413
110,795
111,524
112,539
113,440
114,803
115,312
116,1180
118,324
119,62
120,341
121,496
122,357
123,849
125,506
126,367
127,353
128,46
129,1096
130,323
131,570
132,332
133,695
134,504
135,458
160,208
161,481
162,258
165,1055
167,150
168,608
169,272
171,464
176,32
184,372
189,379
200,306
201,400
202,348
300,335
301,185
302,70
304,107
305,104
306,199
307,86
310,60
312,60
315,74
320,376
322,73
324,107
325,78
329,135
332,85
334,82
335,80
336,133
337,85
339,100
340,64
341,41
343,68
352,84
353,124
354,83
363,57
365,64
384,69
385,66
395,81
396,96
501,3364
503,1064
504,2146
505,1113
506,1003
507,850
508,25
509,1542
510,2448
511,1046
512,1203
705,4
900,1078
902,136
903,739
905,441
924,90
925,573
927,922
929,677
935,625
937,67
939,969
941,59
945,100
952,131
953,65
954,81
960,602
968,60
984,80
985,723
986,90
989,45
995,87
996,176
